PCName,Handles,processName,processID,processCPU,processHandless,MessageTime,MessageTimeForUsers
DAVIDECASTELLAN,469,AdAppMgrSvc,process.Id,process.CPU,thread.ThreadState,,1619647217.90363,28/04/2021 22:00:17
DAVIDECASTELLAN,158,AdobeUpdateService,process.Id,process.CPU,thread.ThreadState,,1619647218.09928,28/04/2021 22:00:18
DAVIDECASTELLAN,151,AdskLicensingService,process.Id,process.CPU,thread.ThreadState,,1619647218.28354,28/04/2021 22:00:18
DAVIDECASTELLAN,235,AGMService,process.Id,process.CPU,thread.ThreadState,,1619647218.56276,28/04/2021 22:00:18
DAVIDECASTELLAN,236,AGSService,process.Id,process.CPU,thread.ThreadState,,1619647218.77478,28/04/2021 22:00:18
DAVIDECASTELLAN,807,ApplicationFrameHost,process.Id,process.CPU,thread.ThreadState,,1619647218.98444,28/04/2021 22:00:18
DAVIDECASTELLAN,462,atieclxx,process.Id,process.CPU,thread.ThreadState,,1619647219.18004,28/04/2021 22:00:19
DAVIDECASTELLAN,173,atiesrxx,process.Id,process.CPU,thread.ThreadState,,1619647219.39011,28/04/2021 22:00:19
DAVIDECASTELLAN,387,audiodg,process.Id,process.CPU,thread.ThreadState,,1619647219.6244,28/04/2021 22:00:19
DAVIDECASTELLAN,568,Calculator,process.Id,process.CPU,thread.ThreadState,,1619647219.87146,28/04/2021 22:00:19
DAVIDECASTELLAN,275,chrome,process.Id,process.CPU,thread.ThreadState,,1619647220.05867,28/04/2021 22:00:20
DAVIDECASTELLAN,321,chrome,process.Id,process.CPU,thread.ThreadState,,1619647220.25605,28/04/2021 22:00:20
DAVIDECASTELLAN,269,chrome,process.Id,process.CPU,thread.ThreadState,,1619647220.45602,28/04/2021 22:00:20
DAVIDECASTELLAN,336,chrome,process.Id,process.CPU,thread.ThreadState,,1619647220.70624,28/04/2021 22:00:20
DAVIDECASTELLAN,298,chrome,process.Id,process.CPU,thread.ThreadState,,1619647220.91712,28/04/2021 22:00:20
